snomedid|term
P0-04120|Manage vitamin B12 injection
P0-0412C|Weight maintenance regimen management
P0-0412C|Manage weight control
PA-60085|Ear wax removal education
PA-60085|Teach wax removal
P0-0413A|Ear wax removal management
P0-0413A|Manage wax removal
P0-00A9F|Anatomy/physiology education, guidance, and counselling
P0-00A9F|Anatomy/physiology education, guidance, and counseling
P0-00A9F|Anatomy/physiology teaching, guidance, and counseling
P0-00A9F|Anatomy/physiology teaching, guidance, and counselling
P1-95901|Cranial neurorrhaphy
P1-95901|Suture of cranial nerve
P1-30345|Removal of thrombus from arteriovenous shunt or cannula
P1-5A363|Excision of lesion of parotid gland
P1-5A363|Excision of lesion of parotid gland, NOS
P1-5A363|Excision of lesion of parotid duct, NOS
P1-5A363|Excision of lesion of parotid duct
P1-36800|Repair of artery of thorax and abdomen
P1-36800|Repair of artery of thorax and abdomen, NOS
P3-67370|Antibody to CA-125 measurement
P1-40400|Biopsy of subcutaneous tissue
P1-40400|Biopsy of subcutaneous tissue, NOS
P1-AC930|Fenestration of tympanic membrane
P1-5C330|Cholecystectomy
P1-5C330|Gallbladder excision
P1-5C330|Excision of gallbladder
P1-5C330|Removal of gallbladder
P5-11030|Radiography of root canal
P1-19352|Synovectomy of extensor tendon sheath of foot
P2-01560|Auscultation
P2-01560|Auscultation - examination
P2-01560|Auscultation, NOS
P2-01560|Listening
P1-16B62|Suture of ligament of upper extremity
P1-16B62|Suture of ligament of upper extremity, NOS
P5-C0362|Teleradiotherapy by linear accelerator
P5-C0362|Linear accelerator X-ray therapy
P5-C0362|LINNAC - Linear accelerator X-ray therapy
P1-B7D80|Transposition of mesenteric tissue
P1-B7D80|Transposition of mesenteric tissue, NOS
P1-11D22|Cartilage graft to nasal septum
P1-AC322|Removal of outer attic wall of middle ear
P1-91441|Debridement of cerebral meninges
P1-34520|Embolization of aorta
P1-34520|Embolisation of aorta
P1-34520|Embolization of aorta, NOS
PA-00806|Irrigating can enema
P1-38890|Interruption of vena cava
P1-38890|Interruption of vena cava, NOS
P5-B8228|Echography, scan B-mode for fetal growth rate
P1-38304|Phlebectomy with anastomosis
F-18840|Screw home motion test
P1-95178|Division of superior laryngeal nerve
P1-83304|Core needle biopsy of uterus
F-18990|Forefoot adduction correction test
P1-5A300|Biopsy of salivary gland
P1-5A300|Biopsy of salivary gland, NOS
P5-C0108|Radiation therapy treatment planning, patient contour and localisation of internal structures
P5-C0108|Radiation therapy treatment planning, patient contour and localization of internal structures
P1-95142|Transection of greater occipital nerve
F-16410|Finger-to-floor distance test
F-16410|Finger-to-floor distance
P1-83801|Repair of uterus and supporting structures
P1-83801|Repair of uterus and supporting structures, NOS
P2-44120|Delayed hypersensitivity skin test
P2-44120|DTH - Delayed-type hypersensitivity test
P2-44120|DHST
P2-44120|Test of type 4 hypersensitivity
P2-44120|DHST, NOS
P1-95C57|Crushing of phrenic nerve
P1-95C57|Phrenicotripsy
P1-95C57|Phrenemphraxis
P2-25212|Total vital capacity with timed forced expiratory volume and peak flow rate measurement
P1-14030|Operation on hip joint
P1-14030|Hip joint operations
P1-14030|Operative procedure on hip joint, NOS
P1-14030|Operative procedure on hip joint
P1-45319|Debridement of beak
P1-A2C65|Scarification of conjunctiva
P1-38914|Clipping of inferior vena cava, partial
P1-B6306|Excision of subfascial abdominal wall tumour
P1-B6306|Excision of subfascial abdominal wall tumor
P1-B6306|Excision of desmoid tumour of abdomen
P1-B6306|Excision of desmoid tumor of abdomen
P1-A4C44|Thermosclerectomy
P1-05026|Injection of air
P1-13351|Partial excision of vertebra of cervical region
P1-16A82|Repair of defect of radius AND ulna with autograft
P1-16A82|Repair of defect of radius and ulna with autograft
P5-70810|Cervical discography
P5-70810|Cervical discogram
P1-A2022|Diagnostic procedure on lacrimal system
P1-A2022|Diagnostic procedure on lacrimal system, NOS
P1-A2022|Hassall-Henle bodies
P1-60401|Excisional biopsy of pituitary gland by transfrontal approach
P1-56842|Closure of intestinal cutaneous fistula
P1-56842|Closure of enterocutaneous fistula
P3-49B06|REA of chromosomal DNA
P3-49B06|REA of chromosomal DNA, NOS
P3-49B06|Radioenzymatic assay (REA) of chromosomal deoxyribonucleic acid
P1-5C062|Repair of bile duct
P1-75114|Drainage of deep periurethral abscess
P1-3085B|Creation of arteriovenous fistula with nonautogenous graft
P3-56014|Bacterial bacteriophage typing
P3-56014|Phage typing, NOS
P3-56014|Phage typing
P3-56014|Bacterial bacteriophage typing, NOS
P1-79502|Injection of therapeutic substance into testis
P1-3082E|Transplantation of aberrant renal artery
P1-3082E|Reimplantation of aberrant renal artery
P1-3082E|Reattachment of aberrant renal artery
P1-3082E|Reposition of aberrant renal artery
P1-3082E|Transection of aberrant renal artery with reimplantation
P1-39100|Incision of pericardium
P1-39100|Pericardotomy
P1-39100|Pericardiotomy
P1-39100|Incision of pericardium, NOS
P1-39100|Pericardiotomy, NOS
P1-0C601|Photocoagulation of eye
P1-57359|Laparoscopic-assisted sigmoid colectomy
P1-57359|Laparoscopic sigmoid colectomy
P1-57359|Laparoscopic-assisted sigmoidectomy
P1-5B316|Percutaneous core needle biopsy of liver
P1-43384|Suction assisted lipectomy of trunk
P1-43384|Liposuction of trunk
P8-52120|Prefabricated resin crown
P1-75101|Laser urethrotomy
P1-54938|Esophagojejunoplasty
P1-54938|Oesophagojejunoplasty
P1-B6801|Suture of abdominal wall
P1-B6801|Suturing of abdominal wall
P1-B6801|Suture of abdominal incision
P1-B6801|Laparorrhaphy
P1-B6801|Suture of abdominal wall, NOS
P1-A1514|Retrobulbar injection of alcohol
P1-A1514|Retrobulbar alcohol injection
P1-A2C60|Destruction of lesion of conjunctiva
P1-A2C60|Destruction of conjunctival lesion
P1-56306|Removal of intraluminal foreign body from artificial stoma
P2-08000|Prescription
P2-08000|Prescription of
P2-08000|Prescription, NOS
P1-10359|Excision of ectopic bone tissue from muscle
P1-10359|Excision of intramuscular ectopic bone
P3-68073|Leucocyte migration inhibitor factor assay
P3-68073|Leukocyte migration inhibitor factor assay
P1-5C191|Transduodenal sphincterotomy
P3-08000|Laboratory reporting
P3-08000|Laboratory reporting, NOS
P2-69303|Hymenoptera hyposensitisation therapy
P2-69303|Hymenoptera hyposensitization therapy
P2-69303|Hymenoptera desensitization therapy
P2-69303|Venom desensitization therapy
P2-69303|Hymenoptera desensitisation therapy
P2-69303|Venom hyposensitization therapy
P2-69303|Venom hyposensitisation therapy
P2-69303|Venom desensitisation therapy
P0-053BD|Uterine suspension without shortening of round ligaments or sacrouterine ligaments
P1-A2989|Kuhnt-Szymanowski operation
P1-AC82C|Myringoplasty epitympanic, type I
P1-95004|Doyle operation for paracervical uterine denervation
P1-58342|Sauer-Bacon operation, abdominoperineal resection
P1-91264|Fistulization of cerebral ventricle
P1-91264|Fistulisation of cerebral ventricle
P1-5708D|Ureterocolostomy
P1-5708D|Ureterocolic anastomosis
P1-5708D|Ureter to colon anastomosis
P1-55029|Gastrorrhaphy for perforated gastric ulcer
P2-70050|Medical procedure on bladder
P2-70050|Medical procedure on bladder, NOS
P1-41005|Operation on face
P1-41005|Operation on face, NOS
P3-34700|Sickle cell identification
P3-34700|Sickle cell disease screening
P3-34700|Sickle cell screening test
P3-34700|Sickle cell screen
P3-34700|Sickle cell identification, NOS
P5-60220|Vasography
P5-60220|Vasogram
P1-78D10|Transplantation of prostatic tissue
P1-78D10|Transplantation of prostatic tissue, NOS
P1-0D239|Repair with resection-recession
P1-0D239|Repair with resection-recession, NOS
P1-91029|Replacement of Gardner Wells tongs of skull
P0-0415E|Gait training case management
P0-0415F|Homemaking case management
P0-0415F|Housekeeping case management
P0-051E5|Enterocolectomy
P1-8604E|Incision of hematoma in episiotomy site
P1-8604E|Incision of haematoma in episiotomy site
P5-08090|CT of elbow, left
P5-08090|Computerized axial tomography of elbow, left
P5-08090|Computerised axial tomography of elbow, left
P5-08091|CT of elbow, right
P5-08091|Computerised axial tomography of elbow, right
P5-08091|Computerized axial tomography of elbow, right
P1-75D40|Transposition of urethral tissue
P1-38882|Shunt of portal vein to vena cava
P1-38882|Portacaval anastomosis
P1-38882|Anastomosis of portal vein to inferior vena cava
P1-38882|Creation of portal-systemic shunt
P1-38882|Anastomosis of inferior vena cava and portal vein
P1-38882|Porto-caval shunt
P1-38882|Portocaval shunt
P2-A3030|Tonography with provocative tests
P2-A3030|Provocative intraocular pressure test
P1-54933|Esophagojejunostomy by abdominal approach
P1-54933|Oesophagojejunostomy by abdominal approach
P1-38C12|Injection of sclerosing agent in varicose vein
P1-38C12|Injection of varicose vein with sclerosing agent
P1-38C12|Sclerotherapy of varicose vein
P1-10511|Transcutaneous stimulation of bone growth
P1-8180F|Episioperineoplasty
P1-403C2|Rhytidectomy of subcutaneous and musculoaponeurotic system
P1-403C2|SMAS flap, rhytidectomy
P1-36965|Axillary-axillary artery bypass graft
P1-58C70|Destruction of lesion of rectum by electrodesiccation
P1-23C10|Obliteration of maxillary sinus
P0-05AE6|Suture of laceration of perineum
P1-A3821|Penetrating keratoplasty with homograft
P1-55A43|Oversewing of ulcer crater of stomach
P1-B7C35|Lysis of adhesions of gallbladder
P1-B7C35|Lysis of adhesions of biliary tract
P1-71314|Diverticulectomy of kidney
P1-1797B|Repair of tendon of hand by graft or implant
P1-93814|Repair of spina bifida
P1-93814|Spina bifida repair
P1-93814|Repair of spinal cord meninges for dysraphism
P1-93814|Repair of spina bifida, NOS
P1-11871|Recession of prognathic jaw
P1-11871|Correction of mandibular prognathism
P1-11871|Prognathic recession
P1-40900|Plastic repair of exoskeleton
P2-91200|Sleep electroencephalogram
P2-91200|Sleep EEG
PA-00534|Rectal temperature taking
P1-11984|Open reduction of open depressed frontal sinus fracture
P2-B1300|Medical procedure on abdomen
P2-B1300|Medical procedure on abdomen, NOS
P1-55966|Bypass gastroenterostomy
P1-55966|Gastroenterostomy
P1-55966|Gastric bypass with Roux-en-Y gastroenterostomy for morbid obesity
P1-38164|Exploration of vein of lower limb
P1-38164|Exploration of peripheral veins of lower limb
P1-95396|Meckel's ganglionectomy
P1-95396|Sphenopalatine ganglionectomy
P5-10224|Cerebral ventriculography, air contrast
P5-10224|Cerebral pneumoventriculogram
P1-41C42|Regional chemexfoliation of face
P0-053CA|Neuroplasty and transposition of cranial nerve
P0-05526|Frenckner operation
P1-B9851|Repair of inguinal hernia with prosthesis or graft, direct
P3-64058|Hepatitis C virus recombinant immunoblot measurement
P3-64058|HCV by RIBA measurement
P1-40561|Replacement of wound catheter of integument
P2-A5002|Ocular prosthetic service
P2-A5002|Ocular prosthetic service, NOS
P2-A5002|Prescribing and fitting of ocular prosthesis
P1-16322|Arthrotomy for excision of torn cartilage of sternoclavicular joint
P9-02650|Denver developmental screening test
P1-74838|Repair of vesicosigmoidovaginal fistula
P1-78351|Subtotal retropubic prostatectomy
P1-48930|Breast reconstruction with latissimus dorsi flap with implant
P3-65370|Liquid phase immunoprecipitation competitive binding immunoassay
PA-00447|Bathing patient in tub
P1-3082D|Hellstom operation for transplantation of aberrant renal artery
P0-058F2|Incision of ascending aorta
P0-058F2|Angiotomy of ascending aorta
P0-058F2|Arteriotomy of ascending aorta
P1-14856|Total arthroplasty of hip, low friction
P1-14856|LFA - Low friction arthroplasty of the hip
P1-30340|Thrombectomy of arterial graft
P1-91C22|Lysis of adhesions of cortical meninges
P8-80320|Adjust partial denture, upper
P3-90370|Protein, urine, Bence-Jones
P3-90370|Urine: Bence Jones' protein level
P3-90370|Urine: Bence Jones' protein
P3-49523|DNA analysis, antenatal, blood
P3-49523|Deoxyribonucleic acid analysis, antenatal, blood
P5-50210|Cholangiogram
P5-50210|Cholangiography
P5-50210|Contrast radiography of bile ducts, NOS
P5-50210|Cholangiogram, NOS
P5-50210|Contrast radiography of bile ducts
P1-93834|Spinal pleurothecal shunt with valve
P1-93834|Spinal pleurothecal anastomosis with valve
P1-55151|Truncal vagotomy
P1-55151|Subdiaphragmatic vagotomy
P1-55151|TV - Truncal vagotomy
P1-55151|Dragstedt vagotomy
P5-D0052|Scanning or imaging, perfusion study, particulate
P1-7A342|Excision of haematocele of tunica vaginalis
P1-7A342|Excision of hematocele of tunica vaginalis
PA-00390|Measuring height of patient
P3-49620|Flow cytometry, cell cycle analysis
P3-49620|Flow cytometry, S phase analysis
P3-49620|DNA S phase analysis
P1-738A0|Revision of urinary conduit
P1-738A0|Revision of urinary conduit, NOS
P1-16B55|Open reduction of fracture of ulna with internal fixation
P1-28500|Therapeutic pneumothorax
P1-28500|Intentional lung collapse
P1-28500|Lung collapse production
P1-28500|Artificial pneumothorax
P1-28500|AP - Artificial pneumothorax
P1-28500|Therapeutic collapse of lung
P1-28500|Intentional temporary lung collapse
P1-28500|Therapeutic pneumothorax with intrapleural injection of air
P1-38331|Excision of lesion of vein of head and neck
P1-A2154|Incision of conjunctiva with drainage of cyst
P1-17105|Capsulotomy of wrist
P3-59104|Knotts microfilaria test
P1-C1870|Anesthesia for procedures on lymphoid tissue of neck
P1-C1870|Anaesthesia for procedures on lymphoid tissue of neck
P5-90178|Skeletal X-ray of ankle and foot
P1-A5103|Incisional discission of anterior hyaloid
P2-09000|Veterinary clinic visit
P2-09000|Veterinary clinic visit, NOS
P1-AC926|Incudostapediopexy with incus replacement
P5-C0192|Radiation therapy treatment planning, interpretation of special testing ordered by radiation therapist
P1-5B850|Hepatic portoenterostomy
P1-5B850|Hepatico-enterostomy
P1-5B850|Hepaticoenterostomy
P1-5B850|Hepatic portoenterostomy, NOS
P1-5B850|Anastomosis hepatic duct to small intestine
P1-16528|Removal of internal fixation device from humerus
P1-5C102|Incision and exploration of gallbladder
P1-5C102|Cholecystotomy with exploration
P0-04158|Environment case management
P0-04159|Exercises case management
P0-0415B|Feeding procedures case management
P0-0415C|Finances case management
P1-56977|Closure of jejunostomy
P1-56977|Take-down of jejunostomy
P7-12334|Chiropractic adjustment of sacral subluxation
P1-45360|Excision of excessive skin and subcutaneous tissue of leg
P1-38818|Ligation of venous connection between anomalous vein and left innominate vein
P1-91396|Cerebral hemispherectomy
P1-91396|Resection of brain hemisphere
P1-91396|Hemispherectomy
P1-91396|Excision of brain hemisphere
P1-33870|Aortocoronary bypass of three coronary arteries
P1-33870|Cardiac revascularisation with bypass aortocoronary anastomosis of three coronary vessels
P1-33870|Cardiac revascularization with bypass aortocoronary anastomosis of three coronary vessels
P8-50520|Restoration, resin, two surfaces, anterior
P1-51030|Operation on palate
P1-51030|Operation on palate, NOS
P1-51030|Palate operation
P5-50112|Radiologic examination of upper gastrointestinal tract with KUB
P1-B6042|Laparotomy for staging of ovarian cancer
P1-B6042|Staging coeliotomy for ovarian cancer
P1-B6042|Staging celiotomy for ovarian cancer
P1-40E80|Change of dressing
P1-40E80|Reapplying a fresh dressing
P1-40E80|Change of dressing, NOS
P1-40E80|Repeating dressing
P1-40E80|Renewing dressing
P1-40E80|Redressing wound
P1-40E80|Dressing change
P1-41330|Excision of benign lesion of scalp and neck
P1-41330|Excision of benign lesion of scalp and neck, NOS
P2-22104|Inhalation bronchial challenge testing
P2-22104|Inhalation bronchial challenge testing, NOS
P1-79855|Bilateral epididymovasostomy with anastomosis of epididymis to vas deferens
P1-79855|Bilateral epididymovasostomy
P1-91420|Removal of foreign body from brain
P1-91420|Removal of foreign body from brain, NOS
P1-91420|FB - Removal of foreign body from brain
P1-83838|Baldy-Webster operation on uterus
P1-16016|Operative procedure on humerus
P1-16016|Operative procedure on humerus, NOS
P1-53825|Pharyngeal reconstruction by direct closure
P8-80540|Repair of cast framework, partial denture
P0-00AB6|Growth/development education, guidance, and counseling
P0-00AB6|Growth/development education, guidance, and counselling
P0-00AB6|Growth/development teaching, guidance, and counselling
P0-00AB6|Growth/development teaching, guidance, and counseling
P0-00AB6|Growth/development care education, guidance, and counselling
P0-00AB6|Growth/development care education, guidance, and counseling
P0-00AC6|Social work/counseling education, guidance, and counseling
P0-00AC6|Social work/counseling education, guidance, and counselling
P0-00AC6|Social work/counseling care teaching, guidance, and counselling
P0-00AC6|Social work/counseling care teaching, guidance, and counseling
P0-00AC6|Social work/counseling teaching, guidance, and counseling
P0-00AC6|Social work/counseling teaching, guidance, and counselling
P0-04168|Housing case management
P0-04168|Home case management
P1-38350|Thoracic phlebectomy
P1-36960|Vascular subclavian-axillary bypass
P2-41128|Bililite therapy with ultraviolet light
P1-56833|Enterostomy, delayed opening
P3-52160|Esculin hydrolysis test
P0-20280|Patient on pass
P3-70600|Tolerance test, intravenous
P3-20860|Antibody detection, RBC, saline, high protein and anti-human globulin technique
P3-20860|Antibody detection, red blood cell, saline, high protein and anti-human globulin technique
P2-50760|Esophageal manometry
P2-50760|Oesophageal manometry
P2-50760|OM - Esophageal manometry
P2-50760|OM - Oesophageal manometry
P2-36134|Wedge pressure determination of hepatic vein
P5-D6664|Red cell iron utilisation study
P5-D6664|Red cell iron utilization study
P5-D6664|Radioiron red cell utilisation
P5-D6664|Radioiron red cell utilization
P0-10140|Hospital admission, emergency, from emergency room, medical nature
P1-14E06|Manipulation of hip joint with general anesthesia
P1-14E06|Manipulation of hip joint with general anaesthesia
P1-14E06|Surgical manipulation of hip joint
P1-14E06|Manipulation of hip joint under anaesthetic
P1-14E06|Manipulation of hip joint under anesthetic
P1-A5385|Extracapsular extraction of lens by inferior temporal route
P1-79D02|Transplantation of testis to thigh
P1-40DA0|Homograft of skin
P1-40DA0|Application of skin allograft
P1-40DA0|Homograft of skin, NOS
P7-11030|Osteopathic manipulation, low-velocity, high-amplitude forces, springing
P1-21A27|Rhinoplasty of nasal deformity
P1-21A27|Correction of nasal deformity
P1-A300F|Repair of cornea with conjunctival flap
P5-90170|Radiography of ankle
P5-90170|Ankle X-ray
P5-90170|Radiography of ankle, NOS
PA-60059|Reality orientation education
PA-60059|Teach reality orientation
P0-04112|Reality orientation management
P0-04112|Manage reality orientation
PA-60065|Medical regimen orders education
PA-60065|Teach medical regimen orders
P0-04119|Medical regimen orders management
P0-04119|Manage medical regimen orders
P1-0D32B|Harvesting of stem cells
P1-0D32B|Harvest of stem cells
P1-91876|Ligation of superior longitudinal sinus
P1-30301|Excision of arteriovenous aneurysm
P1-25EFA|Laryngeal tie-forward
P1-60311|Complete parathyroidectomy
P1-60311|Global parathyroidectomy
P1-60311|Total parathyroidectomy
P7-12110|Chiropractic visit
P7-12110|Chiropractic visit, NOS
P3-30542|Neutrophil band count
P3-30542|Band count
P3-68110|IL-1 Alpha assay
P3-68110|Interleukin (IL)-1 Alpha assay
P1-40315|Excision of keloid
P3-A0106|Feed analysis for protein-fat-CHO-calories
P3-A0106|Feed analysis for protein-fat-carbohydrate-calories
P1-17904|Repair of tendon of hand by suture
P1-17904|Suture of tendon of hand
P1-17904|Repair of tendon of hand by suture, direct, immediate, primary
P1-17904|Tendinosuture of hand
P1-17904|Tenorrhaphy of hand
P1-17904|Tenosuture of hand
P1-54916|Esophagogastrostomy by abdominal approach
P1-54916|Oesophagogastrostomy by abdominal approach
P3-10540|Protein C, functional assay
P1-16B80|Periosteal suture of clavicle
P1-16B80|Suture of periosteum of clavicle
P3-21120|Antibody identification, leukocyte antibody
P3-21120|Antibody identification, leucocyte antibody
P1-18B02|Suture of ligament of lower extremity
P1-18B02|Suture of ligament of lower extremity, NOS
P1-A2517|Probing of lacrimal canaliculi
P1-A2517|Probing of lacrimal canaliculi without irrigation
P1-189AA|Epiphyseal arrest by stapling of distal tibia and fibula
P1-189AA|Epiphyseal stapling of tibia and fibula
P1-10452|Excisional biopsy of bursa
P1-17024|Operation on fascia of hand
P1-17024|Operation on fascia of hand, NOS
P1-17024|Hand fascia operation
P2-39104|Electronic wave or pacemaker analysis, complete
P1-93528|Injection of anaesthetic substance, therapeutic, subarachnoid, differential
P1-93528|Injection of anesthetic substance, therapeutic, subarachnoid, differential
P1-26500|Injection of trachea, percutaneous
P1-26500|Injection of trachea, percutaneous, NOS
P1-39840|Pericardiorrhaphy
P1-39840|Pericardiorrhaphy, NOS
P1-39840|Suture of pericardium, NOS
P1-39840|Suture of pericardium
P1-26752|Bronchoscopy with excision of tumour
P1-26752|Bronchoscopy with excision of tumor
P1-54803|Oesophagoplasty by thoracic approach
P1-54803|Esophagoplasty by thoracic approach
P5-41122|Hysterosalpingography with positive contrast
P5-41122|Hysterosalpingography
P1-38103|Incision of vein
P1-38103|Phlebotomy, NOS
P1-38103|Venotomy
P1-38103|Venesection, NOS
P1-38103|Phlebotomy
P1-38103|Venotomy, NOS
P1-38103|Incision of vein, NOS
P3-62222|HIV-1 Western blot assay
P3-62222|Human immunodeficiency virus HIV-1 Western blot assay
P0-0582B|Repair of tendon of hand
P1-31954|Resuture of cardiac septum prosthesis
P1-11324|Partial mandibulectomy
P1-11324|Partial excision of mandible
P1-14C20|Local destruction of lesion of hip joint
P1-34360|Arteriectomy of thoracoabdominal aorta
P1-34360|Resection of thoracoabdominal aorta
P1-18406|Partial excision of proximal tibia
P5-80136|Skeletal X-ray of wrist and hand
P3-49800|Carrier detection, molecular genetics
P3-49800|Carrier detection, molecular genetics, NOS
P1-35316|Thrombectomy with catheter of carotid artery by neck incision
P1-168A0|Scapulopexy
P1-168A0|Green operation
P1-101E1|Excision of tissue of diaphragm
P1-A2A34|Reconstruction of conjunctival cul-de-sac
PA-60250|Hypertension education
P3-53300|Microbial identification kit conventional method
P3-53300|Microbial identification kit conventional method, NOS
P1-83441|Excision of cervical stump by abdominal approach
P1-58850|Repair of rectal fistula
P1-58850|Closure of rectal fistula, NOS
P1-58850|Closure of rectal fistula
P1-58850|Repair of rectal fistula, NOS
P1-C0550|Hypothermia, total body, induction and maintenance
P9-10050|Environmental intervention on a psychiatric patient's behalf with institutions
P8-30124|Filing of floating teeth
P8-30124|Float teeth
P1-14123|Division of ligament of hip
P1-14123|Division of joint ligament of hip
P3-78430|Mercury measurement
P3-78430|Mercury measurement, NOS
P3-78430|Mercury level
P1-5A117|Incision and drainage of submaxillary abscess, extraoral
P1-26524|Endotracheal intubation, emergency procedure
P1-74816|Clam cystoplasty
P1-C1020|Anaesthesia for procedure on facial bones
P1-C1020|Anesthesia for procedure on facial bones
P1-C1020|Anesthesia for procedure on facial bones, NOS
P3-77263|Heavy metal screen on blood
P1-5E347|Child operation, radical subtotal pancreatectomy
P8-51520|Restoration, crown, full cast, noble metal
P1-11931|Open reduction of malar fracture
P1-AC1B5|Myringotomy including aspiration with general anaesthesia
P3-50250|Fungus culture
P1-21124|Drainage of abscess of nasal septum
P1-21124|Drainage of nasal septal abscess
P1-19E26|Reduction of closed talus fracture with manipulation
P3-67072|Endomysial antibody measurement
P3-67072|Endomysium antibody level
P1-58166|Posterior anal sphincterotomy
P1-58166|Posterior sphincterotomy
P1-58166|Dorsal sphincterotomy
P1-83820|Repair of inverted uterus
P1-83820|Repair of inverted uterus, NOS
P1-37330|Embolectomy with catheter of axillary artery by arm incision
P3-11000|Platelet aggregation test
P3-11000|Aggregometer test
P3-11000|Platelet aggregation assay
P3-11000|Aggregometer test, NOS
P3-11000|Platelet aggregation test, NOS
P3-63440|C1q precipitation test
P1-55000|Operation on stomach
P1-AC1B5|Myringotomy including aspiration with general anesthesia
P1-55000|Operation on stomach, NOS
P1-55000|Stomach operation
P1-55000|Gastric operation
P8-52350|Crown repair
P8-52350|Crown repair, NOS
P2-A2020|Ocular photography for medical evaluation and documentation, slit lamp photography
P2-A2020|Slit lamp photography of eye
P1-2575A|Flexible fibreoptic laryngoscopy with stroboscopy
P1-2575A|Flexible fiberoptic laryngoscopy with stroboscopy
P0-80870|Chart abstracting by exception
P1-33855|Aortocoronary bypass of one coronary artery
P1-33855|Cardiac revascularisation with bypass aortocoronary anastomosis of one coronary vessel
P1-33855|Cardiac revascularization with bypass aortocoronary anastomosis of one coronary vessel
P5-C1170|Intravascular radionuclide therapy
P5-C1170|Intravenous injection of radioisotope
P1-AC371|Excision of lesion of mastoid bone
P1-AC371|Excision of lesion of mastoid
P1-19902|Hallux valgus correction with sesamoidectomy and tendon transplants
P8-50480|Restoration, resin, one surface, anterior
P1-83912|Repair of broad ligament of uterus
P1-83912|Suture of broad ligament of uterus
P1-83320|Open biopsy of endometrium
P1-55380|Removal of foreign body from rumen of stomach
P2-20600|Medical procedure on lung
P2-20600|Pulmonary medical procedure
P2-20600|Pulmonary medical procedure, NOS
P2-20600|Medical procedure on lung, NOS
P3-50010|Specimen collection for microbiology
P3-50010|Specimen collection for microbiology, NOS
P1-30010|Vascular surgery procedure
P1-30010|Operation on vessels
P1-30010|Blood vessel operations
P1-30010|Vascular surgery procedure, NOS
P1-30010|Operation on vessels, NOS
P1-07034|Endoscopy and washing
P1-07034|Endoscopic washing
P5-60094|Magnetic resonance imaging of pelvis, prostate and bladder
P1-10459|Foot fasciectomy
P1-58707|Endoscopic brush biopsy of rectum
P1-25728|Direct laryngoscopy with dilation
P1-83918|Shortening of endopelvic fascia
P1-10A23|Suture of tendon to skeletal attachment
P1-10A23|Tenodesis
P1-10A23|Tenorrhaphy to skeletal attachment
P1-10A23|Tenosuture to skeletal attachment
P1-10A23|Tenosuspension
P1-57325|Removal of gallstones from large intestine
P1-37520|Introduction of catheter into artery of extremity
P1-91E00|Reduction of fracture of skull
P1-91E00|Reduction of fracture of skull, NOS
P1-71311|Local excision of renal parenchymal tumour
P1-71311|Local excision of renal parenchymal tumor
P1-86E42|Prague manoeuvre
P1-86E42|Prague maneuver
P2-48122|Immunisation for enterotoxaemia
P2-48122|Immunization for enterotoxemia
P2-31000|Electrocardiographic procedure
P2-31000|Electrocardiogram, NOS
P2-31000|Electrocardiogram
P2-31000|Electrocardiographic procedure, NOS
P2-31000|EKG
P5-D6655|Red cell survival study with splenic sequestration
P5-D6655|Isotope study for red blood cell splenic sequestration
P1-11980|Open reduction of alveolar fracture of mandible
P1-11980|Open reduction of fracture of alveolar process of mandible
P1-19310|Arthrotomy of ankle with joint exploration and biopsy
P1-5113A|Incision and drainage of masticator space by intraoral approach
P1-48118|Mastotomy with drainage of deep abscess
P5-70730|Thoracic myelography
P5-70730|Dorsal myelogram
P5-70730|Thoracic myelogram
P1-93421|Removal of foreign body from spinal cord
P1-93421|Removal of foreign body from spinal cord tissue
P1-93421|FB - Removal of foreign body from spinal cord
P1-16112|Incision and drainage of infected bursa of shoulder area
P1-17418|Bursectomy of hand
P1-17418|Resection of bursa of hand
P1-17418|Excision of bursa of hand
P3-68154|TGF-Beta assay
P3-68154|Tumor growth factor (TGF)-Beta assay
P3-68154|Tumour growth factor (TGF)-Beta assay
P1-57400|Total colectomy
P1-57400|Total removal of colon
P1-57400|Total colectomy, NOS
P1-57400|Total excision of colon
P1-57400|Complete resection of colon
P1-55362|Polya operation, gastrectomy
P1-55362|Billroth II partial gastrectomy - Polya modification
P1-55362|Polya partial gastrectomy
P1-11976|Augmentation genioplasty
P1-11976|Augmentation of chin
P1-11976|Augmentation mentoplasty
P1-A3521|Chemical tattooing of cornea
P1-34512|Introduction of aortic catheter by translumbar route
P2-015A5|Examination of depth of respiration
P1-25000|Procedure on larynx
P1-25000|Larynx procedure
P1-25000|Laryngeal procedure
P1-77518|Removal of non-inflatable penile prosthesis
P1-16181|Osteotomy of radius
P1-55540|Insertion of gastric balloon
P1-55540|Insertion of gastric bubble
P1-55540|Insertion of balloon into stomach
P1-16118|Arthrotomy of acromioclavicular joint for infection with drainage
P1-A1814|Repair of orbit
P1-A1814|Plastic repair of orbital cavity
P1-A1814|Repair of orbit proper
P1-A1814|Repair of eyeball socket
P1-A1814|Repair of orbit, NOS
P5-80106|Radiography of soft tissue of elbow
P1-C0220|Epidural anesthesia
P1-C0220|Epidural anaesthesia
P1-C0220|Peridural anesthesia
P1-C0220|Extradural block
P1-C0220|Local anaesthetic epidural block
P1-C0220|Peridural anaesthesia
P1-C0220|LA - Local anesthetic epidural block
