SOURCE 	CLASS	LOINC_CODE	"Rank Order(1 = most frequently ordered)"	CONVENIENCE_NAME	LOINC_LONG_COMMON_NAME	COMPONENT	PROPERTY	TM	SPCMN	SCALE	METHOD	Usually not performed at a referral lab (X)
	MICRO	49846-9	1675	HCV Ag Bld/Mar Donr Ql	Hepatitis C virus Ag [Presence] in Blood or Marrow from donor								
	MICRO	9632-1	1676	A fumigatus Ab Ser Ql	Aspergillus fumigatus Ab [Presence] in Serum								
	CHEM	2032-1	1677	COHgb MFr BldV	Carboxyhemoglobin/Hemoglobin.total in Venous blood								
	CHEM	19050-4	1678	MetanephS 24H Ur-mCnc	Metanephrines [Mass/volume] in 24 hour Urine								
	MICRO	47364-5	1679	HBV surface Ag Ser Donr Ql EIA	Hepatitis B virus surface Ag [Presence] in Serum from donor by Immunoassay								
	FERT	13942-8	1680	Sperm Motile Smn Ql Micro	Spermatozoa Motile [Presence] in Semen by Light microscopy								
	MICRO	22463-4	1681	Reagin Ab Ser Donr Ql	Reagin Ab [Presence] in Serum from donor								
	FERT	10622-9	1682	Sperm Norm NFr Smn	Spermatozoa Normal/100 spermatozoa in Semen								
	SPEC	19088-4	1683	Collect Start Date Ur	Collection of urine specimen start date								
	MICRO	47441-1	1684	HCV Ab Ser Donr Ql	Hepatitis C virus Ab [Presence] in Serum from donor								
	SPEC	19089-2	1685	Collect Start Tme Ur	Collection of urine specimen start time								
	CHEM	15174-6	1686	Cryocrit Ser Spun Westergren	Cryocrit of Serum by Spun Westergren								
	MICRO	5000-5	1687	CMV DNA XXX Ql PCR	Cytomegalovirus DNA [Presence] in Unspecified specimen by Probe & target amplification method								
	SPEC	19086-8	1688	Collect End Date Ur	Collection of urine specimen end date								
	SPEC	19087-6	1689	Collect End Tme Ur	Collection of urine specimen end time								
	ALLERGY	7558-0	1690	Oyster IgE Qn	Oyster IgE Ab [Units/volume] in Serum								
	COAG	29280-5	1691	D Dimer PPP Ql LA	Fibrin D-dimer [Presence] in Platelet poor plasma by Latex agglutination								
	MOLPATH.MUT	43399-5	1692	JAK2 p.V617F Bld/T Ql	JAK2 gene p.V617F [Presence] in Blood or Tissue by Molecular genetics method								
	CHEM	13462-7	1693	Apo A-I/Apo B SerPl-mRto	Apolipoprotein A-I/Apolipoprotein B [Mass ratio] in Serum or Plasma								
	CHEM	49295-9	1694	Prot Pattern CSF Elph-Imp	Protein Fractions [interpretation] in Cerebral spinal fluid by Electrophoresis Narrative								
	MICRO	43441-5	1695	Bacteria BAL Aerobe Cult	Bacteria identified in Bronchoalveolar lavage by Aerobe culture								
	CHEM	21482-5	1696	Prot 24H Ur-mCnc	Protein [Mass/volume] in 24 hour Urine								
	CHEM	2597-3	1697	Magnesium RBC-sCnc	Magnesium [Moles/volume] in Red Blood Cells								
	CHEM	2669-0	1698	Normetanephrine SerPl-mCnc	Normetanephrine [Mass/volume] in Serum or Plasma								
	DRUG/TOX	35603-0	1699	Clonazepam SerPl Scn-mCnc	Clonazepam [Mass/volume] in Serum or Plasma by Screen method								
	CHEM	21422-1	1700	Normetanephrine 24H Ur-mCnc	Normetanephrine [Mass/volume] in 24 hour Urine								
	MICRO	13327-2	1701	HPIV Ag XXX Ql IF	Parainfluenza virus Ag [Presence] in Unspecified specimen by Immunofluorescence								
	HEM/BC	26517-3	1702	Polys NFr CSF	Polymorphonuclear cells/100 leukocytes in Cerebral spinal fluid								
	COAG	3193-0	1703	Fact V Act/Nor PPP	Coagulation factor V activity actual/normal in Platelet poor plasma by Coagulation assay								
	CHEM	2895-1	1704	ZPP RBC-mCnc	Protoporphyrin.zinc [Mass/volume] in Red Blood Cells								
	MICRO	6367-7	1705	C tetani IgG Ser EIA-aCnc	Clostridium tetani IgG Ab [Units/volume] in Serum by Immunoassay								
	MICRO	41480-5	1706	BKV DNA # Ur PCR	BK virus DNA [#/volume] (viral load) in Urine by Probe & target amplification method								
	MICRO	38390-1	1707	C neoform Ag CSF Ql	Cryptococcus neoformans Ag [Presence] in Cerebral spinal fluid								
	MICRO	31843-6	1708	H pylori Ag Stl Ql	Helicobacter pylori Ag [Presence] in Stool								
	BLDBK	888-8	1709	Blood group antibodies SerPl	Blood group antibodies identified in Serum or Plasma								
	CHEM	25987-9	1710	Testost Free SerPl RIA-sCnc	Testosterone Free [Moles/volume] in Serum or Plasma by Radioimmunoassay (RIA)								
	DRUG/TOX	40464-0	1711	Drugs Ur Cfm	Drugs identified in Urine by Confirmatory method								
	MICRO	13227-4	1712	C diphtheriae IgG Ser-aCnc	Corynebacterium diphtheriae IgG Ab [Units/volume] in Serum								
	MICRO	58787-3	1713	C diphtheriae IgG Ser EIA-aCnc	Corynebacterium diphtheriae IgG Ab [Units/volume] in Serum by Immunoassay								
	MICRO	32284-2	1714	BKV DNA SerPl PCR-aCnc	BK virus DNA [Units/volume] (viral load) in Serum or Plasma by Probe & target amplification method								
	DRUG/TOX	19287-2	1715	Cannabinoids Tested Ur Scn	Cannabinoids tested for in Urine by Screen method Nominal								
	MICRO	17852-5	1716	U urealyticum XXX Ql Cult	Ureaplasma urealyticum [Presence] in Unspecified specimen by Organism specific culture								
	ALLERGY	6078-0	1717	Roach IgE Qn	Cockroach IgE Ab [Units/volume] in Serum								
	MICRO	15388-2	1718	M hominis XXX Ql Cult	Mycoplasma hominis [Presence] in Unspecified specimen by Organism specific culture								
	ABXBACT	31036-7	1719	Gatifloxacin Islt MIC	Gatifloxacin [Susceptibility] by Minimum inhibitory concentration (MIC)								
	MICRO	23871-7	1720	HCV NS5 Ab Ser Ql IB	Hepatitis C virus NS5 Ab [Presence] in Serum by Immunoblot (IB)								
	ALLERGY	15917-8	1721	Peanut IgE RAST Ql	Peanut IgE Ab RAST class in Serum								
	MICRO	9610-7	1722	HCV C33c Ab Ser Ql IB	Hepatitis C virus c33c Ab [Presence] in Serum by Immunoblot (IB)								
	MICRO	9609-9	1723	HCV22-3 Ab Ser Ql IB	Hepatitis C virus 22-3 Ab [Presence] in Serum by Immunoblot (IB)								
	COAG	3187-2	1724	Fact IX Act/Nor PPP	Coagulation factor IX activity actual/normal in Platelet poor plasma by Coagulation assay								
	OB.US	43993-5	1725	Age at delivery	Age at delivery								
	HEM/BC	23860-0	1726	RBC # Fld Auto	Erythrocytes [#/volume] in Body fluid by Automated count								
	CHEM	3096-5	1727	UUN 24H Ur-mRate	Urea nitrogen [Mass/time] in 24 hour Urine								
	ABXBACT	6998-9	1728	Ceftriaxone Islt E-test	Ceftriaxone [Susceptibility] by Gradient strip (E-test)								
	MICRO	25630-5	1729	B19V IgG Titr Ser	Parvovirus B19 IgG Ab [Titer] in Serum								
	CHEM	2350-7	1730	Glucose Ur-mCnc	Glucose [Mass/volume] in Urine								
	HEM/BC	19098-3	1731	RBC Amn Ql	Erythrocytes [Presence] in Amniotic fluid								
	HEM/BC	12229-1	1732	Macrophages NFr CSF Manual	Macrophages/100 leukocytes in Cerebral spinal fluid by Manual count								
	MICRO	20446-1	1733	HSV IgG Ser EIA-Imp	Herpes simplex virus IgG Ab [interpretation] in Serum by Immunoassay								
	ALLERGY	6059-0	1734	C albicans IgE Qn	Candida albicans IgE Ab [Units/volume] in Serum								
	CELLMARK	13337-1	1735	CD8+HLA-DR+ Cells NFr Bld	CD8+HLA-DR+ cells/100 cells in Blood								
	MISC	21112-8	1736	Birth Date	Birth date								
	MICRO	25435-9	1737	HSV IgM Ser Ql	Herpes simplex virus IgM Ab [Presence] in Serum								
	CELLMARK	49835-2	1738	CD19+IgD+ cells NFr XXX	CD19+IgD+ cells/100 cells in Unspecified specimen								
	MOLPATH.MUT	32632-2	1739	HEXA gene Mut Anal Bld/T	HEXA gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal								
	CHEM	49041-7	1740	Testost SerPl DL=1.0 ng/dL-mCnc	Testosterone [Mass/volume] in Serum or Plasma by Detection limit = 1.0 ng/dL								
	MICRO	5096-3	1741	C immitis Ab Titr Ser CF	Coccidioides immitis Ab [Titer] in Serum by Complement fixation								
	ALLERGY	7774-3	1742	Cow Whey IgE Qn	Cow whey IgE Ab [Units/volume] in Serum								
	MICRO	5052-6	1743	Aspergillus Ab Ser Ql ID	Aspergillus sp Ab [Presence] in Serum by Immune diffusion (ID)								
	MICRO	29675-6	1744	B19V IgG Ser Ql	Parvovirus B19 IgG Ab [Presence] in Serum								
	MICRO	29660-8	1745	B19V IgG Ser Ql EIA	Parvovirus B19 IgG Ab [Presence] in Serum by Immunoassay								
	MICRO	7981-4	1746	B19V IgM Ser Ql	Parvovirus B19 IgM Ab [Presence] in Serum								
	MICRO	40658-7	1747	B19V IgM Ser Ql EIA	Parvovirus B19 IgM Ab [Presence] in Serum by Immunoassay								
	UA	32147-1	1748	Reducing Subs Ur-mCnc	Reducing substances [Mass/volume] in Urine								
	MICRO	22111-9	1749	B henselae IgM Titr Ser	Bartonella henselae IgM Ab [Titer] in Serum								
	MICRO	22362-8	1750	HTLV1+2 Ab Ser Ql	HTLV 1+2 Ab [Presence] in Serum								
	CHEM	2892-8	1751	FEP Bld-mCnc	Protoporphyrin Free [Mass/volume] in Blood								
	COAG	3198-9	1752	Fact VII Act/Nor PPP	Coagulation factor VII activity actual/normal in Platelet poor plasma by Coagulation assay								
	CHEM	49042-5	1753	Testost Free SerPl DL=1.0 ng/dL-mCnc	Testosterone Free [Mass/volume] in Serum or Plasma by Detection limit = 1.0 ng/dL								
	BLDBK	10386-1	1754	Albumin Gvn Vol	Albumin given [Volume]								
	COAG	13589-7	1755	aPCR Bld Ql PCR	Activated protein C resistance [Presence] in Blood by Probe & target amplification method								
	DRUG/TOX	16201-6	1756	Oxazepam Ur Cfm-mCnc	Oxazepam [Mass/volume] in Urine by Confirmatory method								
	SERO	8087-9	1757	PCA Ab Ser-aCnc	Parietal cell Ab [Units/volume] in Serum								
	DRUG/TOX	8220-6	1758	Opiates Ur-mCnc	Opiates [Mass/volume] in Urine								
	DRUG/TOX	16228-9	1759	Nordiazepam Ur Cfm-mCnc	Nordiazepam [Mass/volume] in Urine by Confirmatory method								
	MICRO	23876-6	1760	HIV1 RNA Plas bDNA-aCnc	HIV 1 RNA [Units/volume] (viral load) in Plasma by Probe & signal amplification method								
	MICRO	42621-3	1761	M hominis DNA Bld Ql PCR	Mycoplasma hominis DNA [Presence] in Blood by Probe & target amplification method								
	HEM/BC	4477-6	1762	C1INH SerPl-mCnc	Complement C1 esterase inhibitor [Mass/volume] in Serum or Plasma								
	ALLERGY	6138-2	1763	H halodes IgE Qn	Helminthosporium halodes IgE Ab [Units/volume] in Serum								
	CHEM	2216-0	1764	Dopamine SerPl-mCnc	Dopamine [Mass/volume] in Serum or Plasma								
	ALLERGY	6037-6	1765	Barley IgE Qn	Barley IgE Ab [Units/volume] in Serum								
	ALLERGY	7632-3	1766	Privet IgE Qn	Privet IgE Ab [Units/volume] in Serum								
	FERT	10580-9	1767	Liquefaction Time Smn	Liquefaction [Time] in Semen								
	MICRO	6460-0	1768	Bacteria Spt Cult	Bacteria identified in Sputum by Culture								
	MICRO	20416-4	1769	HCV RNA # SerPl PCR	Hepatitis C virus RNA [#/volume] (viral load) in Serum or Plasma by Probe & target amplification method								
	HEM/BC	13941-0	1770	Lymphocytes NFr Fld Manual	Lymphocytes/100 leukocytes in Body fluid by Manual count								
	MICRO	47252-2	1771	HCV RNA SerPl PCR-Log#	Hepatitis C virus RNA [Log #/volume] (viral load) in Serum or Plasma by Probe & target amplification method								
	MICRO	41487-0	1772	C parvum Ag Stl Ql EIA	Cryptosporidium parvum Ag [Presence] in Stool by Immunoassay								
	CHEM	14116-8	1773	IgG Synth Rate Ser+CSF Calc-mRate	IgG synthesis rate [Mass/time] in Serum & CSF by calculation								
	MICRO	29539-4	1774	HIV1 RNA Plas bDNA-Log#	HIV 1 RNA [Log #/volume] (viral load) in Plasma by Probe & signal amplification method								
	ABXBACT	33630-5	1775	HIV PI gene Mut Det Islt	HIV protease gene mutations detected [Identifier] in Isolate								
	MOLPATH.TRNLOC	21821-4	1776	t(9,22)(ABL1,BCR) Bld/T Ql	t(9,22)(ABL1,BCR) Translocation [Presence] in Blood or Tissue by Molecular genetics method								
	MOLPATH	33893-9	1777	Karyotyp Mar	Karyotype [Identifier] in Bone marrow Nominal								
	SERO	20398-4	1778	ANA Homogen Titr Ser	Nuclear Ab Pattern Homogenous [Titer] in Serum								
	DRUG/TOX	5583-0	1779	Arsenic Bld-mCnc	Arsenic [Mass/volume] in Blood								
	SERO	5234-0	1780	ENA Jo1 Ab Ser Ql EIA	Jo-1 extractable nuclear Ab [Presence] in Serum by Immunoassay								
	ALLERGY	16074-7	1781	Walnut IgE RAST Ql	Walnut IgE Ab RAST class in Serum								
	DRUG/TOX	35622-0	1782	Nordiazepam SerPl Scn-mCnc	Nordiazepam [Mass/volume] in Serum or Plasma by Screen method								
	CHEM	15014-4	1783	ALP Intest CFr SerPl	Alkaline phosphatase.intestinal/Alkaline phosphatase.total in Serum or Plasma								
	MICRO	20431-3	1784	Smear XXX	Microscopic observation [Identifier] in Unspecified specimen by Smear								
	CHEM	49588-7	1785	1st trimester scn+NT Patient-Imp	First trimester maternal screen with nuchal translucency [interpretation] Narrative								
	MICRO	611-4	1786	Bacteria Fld Cult	Bacteria identified in Body fluid by Culture								
	DRUG/TOX	23905-3	1787	Mycophenolate SerPl-mCnc	Mycophenolate [Mass/volume] in Serum or Plasma								
	HEM/BC	31112-6	1788	Retics/100 RBC NFr Manual	Reticulocytes/100 erythrocytes in Blood by Manual								
	MICRO	25418-5	1789	MuV IgG Ser EIA-aCnc	Mumps virus IgG Ab [Units/volume] in Serum by Immunoassay								
	PATH	65757-7	1790	Kidney Path Bx report	Kidney Pathology biopsy report								
	PATH	65752-8	1791	Liver Path Bx report	Liver Pathology biopsy report								
	PATH	65751-0	1792	Muscle Path Bx report	Muscle Pathology biopsy report								
	PATH	65754-4	1793	Skin Path Bx report	Skin Pathology biopsy report								
	CHEM	2217-8	1794	Dopamine Ur-mCnc	Dopamine [Mass/volume] in Urine								
	CHEM	11046-0	1795	Epineph Ur-mCnc	Epinephrine [Mass/volume] in Urine								
	CHEM	2667-4	1796	Norepineph Ur-mCnc	Norepinephrine [Mass/volume] in Urine								
	ALLERGY	25383-1	1797	Cow Milk IgE RAST Ql	Cow milk IgE Ab RAST class in Serum								
	ALLERGY	6234-9	1798	Saltwort IgE Qn	Saltwort IgE Ab [Units/volume] in Serum								
	DRUG/TOX	3786-1	1799	Methaqualone Ur Ql	Methaqualone [Presence] in Urine								
	CHEM	11060-1	1800	Reducing Subs Stl Ql	Reducing substances [Presence] in Stool								
	DRUG/TOX	20469-3	1801	Acetone SerPl Ql Scn	Acetone [Presence] in Serum or Plasma by Screen method								
	BLDBK	50970-3	1802	XXX blood group Ab Titr SerPl AHG	XXX blood group Ab [Titer] in Serum or Plasma by Antihuman globulin								
	MICRO	22315-6	1803	HAV IgM Ser-aCnc	Hepatitis A virus IgM Ab [Units/volume] in Serum								
	DRUG/TOX	17713-9	1804	Topiramate SerPl-mCnc	Topiramate [Mass/volume] in Serum or Plasma								
	CHEM	19125-4	1805	Meconium Amn Ql	Meconium [Presence] in Amniotic fluid								
	DRUG/TOX	49578-8	1806	Amicaproate CtO SerPl-mCnc	Aminocaproate cutoff [Mass/volume] in Serum or Plasma								
	CHEM	2749-0	1807	pH Gast	pH of Gastric fluid								
	CHEM	11559-2	1808	OxyHgb MFr Bld	Fractional oxyhemoglobin in Blood								
	ALLERGY	7415-3	1809	C sphaerospermum IgE Qn	Cladosporium sphaerospermum IgE Ab [Units/volume] in Serum								
	SPEC	34696-5	1810	Collection meth0d Smn	Collection method [Type] of Semen								
	MICRO	7901-2	1811	H pylori IgA Ser-aCnc	Helicobacter pylori IgA Ab [Units/volume] in Serum								
	CHEM	38494-1	1812	Metaneph Free SerPl-mCnc	Metanephrine Free [Mass/volume] in Serum or Plasma								
	FERT	13627-5	1813	RBC Smn Ql Micro	Erythrocytes [Presence] in Semen by Light microscopy								
	HEM/BC	15192-8	1814	Variant Lymphs Bld Ql Auto	Lymphocytes Variant [Presence] in Blood by Automated count								
	CHEM	2030-5	1815	COHgb MFr BldA	Carboxyhemoglobin/Hemoglobin.total in Arterial blood								
	SERO	11034-6	1816	AChR Bind Ab Ser-sCnc	Acetylcholine receptor binding Ab [Moles/volume] in Serum								
	MICRO	5838-8	1817	CMV XXX Ql Cult	Cytomegalovirus [Presence] in Unspecified specimen by Organism specific culture								
	MICRO	24312-1	1818	T pallidum Ab Ser Ql Aggl	Treponema pallidum Ab [Presence] in Serum by Agglutination								
	DRUG/TOX	35595-8	1819	Acetamin SerPl Scn-mCnc	Acetaminophen [Mass/volume] in Serum or Plasma by Screen method								
	MICRO	550-4	1820	B pert Ag XXX Ql IF	Bordetella pertussis Ag [Presence] in Unspecified specimen by Immunofluorescence								
	UA	25148-8	1821	CaOx Cry #/area UrnS HPF	Calcium oxalate crystals [#/area] in Urine sediment by Microscopy high power field								
	CHEM	14117-6	1822	IgG index Ser+CSF	IgG index in Serum & CSF								
	HEM/BC	26509-0	1823	Neuts Band NFr CSF	Neutrophils.band form/100 leukocytes in Cerebral spinal fluid								
	HEM/BC	12209-3	1824	Eosinophil NFr Fld Manual	Eosinophils/100 leukocytes in Body fluid by Manual count								
	MICRO	666-8	1825	India Ink Prep XXX	Microscopic observation [Identifier] in Unspecified specimen by India ink prep								
	CHEM	12215-0	1826	VLCFA SerPl-sCnc	Fatty acids.very long chain [Moles/volume] in Serum or Plasma								
	ALLERGY	19734-3	1827	Chicken Drop IgE Qn	Chicken droppings IgE Ab [Units/volume] in Serum								
	CHEM	2638-5	1828	MBP CSF-mCnc	Myelin basic protein [Mass/volume] in Cerebral spinal fluid								
	CHEM	14875-9	1829	Phe SerPl-sCnc	Phenylalanine [Moles/volume] in Serum or Plasma								
	CHEM	20643-3	1830	Glutamine SerPl-sCnc	Glutamine [Moles/volume] in Serum or Plasma								
	CHEM	20636-7	1831	Alanine SerPl-sCnc	Alanine [Moles/volume] in Serum or Plasma								
	MICRO	5005-4	1832	EBV DNA XXX Ql PCR	Epstein Barr virus DNA [Presence] in Unspecified specimen by Probe & target amplification method								
	CHEM	25473-0	1833	Metaneph SerPl-sCnc	Metanephrine [Moles/volume] in Serum or Plasma								
	CHEM	20661-5	1834	Valine SerPl-sCnc	Valine [Moles/volume] in Serum or Plasma								
	DRUG/TOX	3861-2	1835	Nordiazepam Ur Ql	Nordiazepam [Presence] in Urine								
	DRUG/TOX	12361-2	1836	Oxazepam Ur Ql	Oxazepam [Presence] in Urine								
	CHEM	9624-8	1837	VMA Ur-mCnc	Vanillylmandelate [Mass/volume] in Urine								
	CHEM	14121-8	1838	Pyruvate Bld-sCnc	Pyruvate [Moles/volume] in Blood								
	BLDBK	46268-9	1839	ABO+Rh Gp p transf rx Bld BPU	ABO & Rh group [Type] in Blood from Blood product unit--after transfusion reaction								
	DRUG/TOX	3436-3	1840	CarboxyTHC Ur-mCnc	Carboxy tetrahydrocannabinol [Mass/volume] in Urine								
	MICRO	41163-7	1841	T pallidum DNA XXX Ql PCR	Treponema pallidum DNA [Presence] in Unspecified specimen by Probe & target amplification method								
	CHEM	20648-2	1842	Isoleucine SerPl-sCnc	Isoleucine [Moles/volume] in Serum or Plasma								
	CHEM	20649-0	1843	Leucine SerPl-sCnc	Leucine [Moles/volume] in Serum or Plasma								
	ALLERGY	24139-8	1844	Roach IgG Qn	Cockroach IgG Ab [Units/volume] in Serum								
	ALLERGY	11183-1	1845	Macadamia IgE Qn	Macadamia IgE Ab [Units/volume] in Serum								
	MICRO	44607-0	1846	HIV1 Ser EIA-Imp	HIV 1 [interpretation] in Serum by Immunoassay								
	MICRO	8015-0	1847	RUBV IgM Ser-aCnc	Rubella virus IgM Ab [Units/volume] in Serum								
	ALLERGY	6239-8	1848	Lenscale IgE Qn	Lenscale IgE Ab [Units/volume] in Serum								
	MICRO	5116-9	1849	C diphtheriae Ab Ser EIA-aCnc	Corynebacterium diphtheriae Ab [Units/volume] in Serum by Immunoassay								
	CHEM	1777-2	1850	ALP Bone SerPl-cCnc	Alkaline phosphatase.bone [Enzymatic activity/volume] in Serum or Plasma								
	MICRO	22568-0	1851	ASO Ab Titr Ser	Streptolysin O Ab [Titer] in Serum								
	CHEM	13538-4	1852	CO2 Ur-sCnc	Carbon dioxide, total [Moles/volume] in Urine								
	CHEM	14976-5	1853	Lecithin/Sphingomyelin Amn-Rto	Lecithin/Sphingomyelin [Ratio] in Amniotic fluid								
	CHEM	19201-3	1854	PSA Free SerPl-aCnc	Prostate Specific Ag Free [Units/volume] in Serum or Plasma								
	MICRO	18482-0	1855	Yeast XXX Ql Cult	Yeast [Presence] in Unspecified specimen by Organism specific culture								
	SPEC	32789-0	1856	Visc Smn Ql	Viscosity of Semen Qualitative								
	ALLERGY	7445-0	1857	A-Lactalb IgE Qn	Lactalbumin alpha IgE Ab [Units/volume] in Serum								
	DRUG/TOX	35670-9	1858	Tobramycin SerPl-mCnc	Tobramycin [Mass/volume] in Serum or Plasma								
	CHEM	17819-4	1859	Albumin ?Tm MFr Ur Elph	Albumin/Protein.total in unspecified time Urine by Electrophoresis								
	CHEM	17811-1	1860	Alpha1 Glob ?Tm MFr Ur Elph	Alpha 1 globulin/Protein.total in unspecified time Urine by Electrophoresis								
	CHEM	17813-7	1861	Alpha2 Glob ?Tm MFr Ur Elph	Alpha 2 globulin/Protein.total in unspecified time Urine by Electrophoresis								
	CHEM	17815-2	1862	B-Globulin ?Tm MFr Ur Elph	Beta globulin/Protein.total in unspecified time Urine by Electrophoresis								
	CHEM	17817-8	1863	Gamma glob ?Tm MFr Ur Elph	Gamma globulin/Protein.total in unspecified time Urine by Electrophoresis								
	COAG	21027-8	1864	PA PPP-Imp	Platelet aggregation [interpretation] in Platelet poor plasma								
	HEM/BC	13088-0	1865	CH100 SerPl-aCnc	Complement total hemolytic CH100 [Units/volume] in Serum or Plasma								
	HEM/BC	34165-1	1866	Imm Granulocytes Bld Ql Auto	Granulocytes Immature [Presence] in Blood by Automated count								
	SERO	8072-1	1867	Insulin Ab Ser-aCnc	Insulin Ab [Units/volume] in Serum								
	CHEM	20660-7	1868	Tyrosine SerPl-sCnc	Tyrosine [Moles/volume] in Serum or Plasma								
	SERO	20401-6	1869	ANA Speckled Titr Ser	Nuclear Ab pattern.speckled [Titer] in Serum								
	MICRO	533-0	1870	Mycobacterium Bld Cult	Mycobacterium sp identified in Blood by Organism specific culture								
	CHEM	20651-6	1871	Methionine SerPl-sCnc	Methionine [Moles/volume] in Serum or Plasma								
	MICRO	9360-9	1872	B quintana IgG Titr Ser	Bartonella quintana IgG Ab [Titer] in Serum								
	MICRO	23870-9	1873	HCV100+5-1-1 Ab Ser Ql IB	Hepatitis C virus 100+5-1-1 Ab [Presence] in Serum by Immunoblot (IB)								
	PULM	59408-5	1874	SaO2% BldA PulseOx	Oxygen saturation in Arterial blood by Pulse oximetry								
	CHEM	9812-9	1875	Cortis PM SerPl-mCnc	Cortisol [Mass/volume] in Serum or Plasma --evening specimen								
	CHEM	2700-3	1876	Oxalate Ur-mCnc	Oxalate [Mass/volume] in Urine								
	MICRO	4991-6	1877	B burgdor DNA XXX Ql PCR	Borrelia burgdorferi DNA [Presence] in Unspecified specimen by Probe & target amplification method								
	MOLPATH.MUT	22070-7	1878	HP gene Mut Anal Bld/T	HP gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal								
	ALLERGY	6286-9	1879	Wormwood IgE Qn	Wormwood IgE Ab [Units/volume] in Serum								
	SERO	32220-6	1880	L/K Microsom1 Ab Ser-aCnc	Liver kidney microsomal 1 Ab [Units/volume] in Serum								
	COAG	9326-0	1881	PS IgG Ser Ql EIA	Phosphatidylserine IgG Ab [Presence] in Serum by Immunoassay								
	MICRO	9361-7	1882	B quintana IgM Titr Ser	Bartonella quintana IgM Ab [Titer] in Serum								
	CHEM	20637-5	1883	Arginine SerPl-sCnc	Arginine [Moles/volume] in Serum or Plasma								
	CHEM	20640-9	1884	Citrulline SerPl-sCnc	Citrulline [Moles/volume] in Serum or Plasma								
	CHEM	20644-1	1885	Glycine SerPl-sCnc	Glycine [Moles/volume] in Serum or Plasma								
	CHEM	20656-5	1886	Serine SerPl-sCnc	Serine [Moles/volume] in Serum or Plasma								
	CHEM	20658-1	1887	Threonine SerPl-sCnc	Threonine [Moles/volume] in Serum or Plasma								
	CHEM	20657-3	1888	Taurine SerPl-sCnc	Taurine [Moles/volume] in Serum or Plasma								
	ALLERGY	6029-3	1889	A pullulans IgE Qn	Aureobasidium pullulans IgE Ab [Units/volume] in Serum								
	CHEM	20642-5	1890	Glutamate SerPl-sCnc	Glutamate [Moles/volume] in Serum or Plasma								
	CHEM	20645-8	1891	Histidine SerPl-sCnc	Histidine [Moles/volume] in Serum or Plasma								
	CHEM	20655-7	1892	Proline SerPl-sCnc	Proline [Moles/volume] in Serum or Plasma								
	ABXBACT	18903-5	1893	Chloramphen Susc Islt	Chloramphenicol [Susceptibility]								
	HEM/BC	17788-1	1894	LUC NFr Bld Auto	Large unstained cells/100 leukocytes in Blood by Automated count								
	COAG	14246-3	1895	PS IgM Ser-aCnc	Phosphatidylserine IgM Ab [Units/volume] in Serum								
	COAG	3218-5	1896	Fact X Act/Nor PPP	Coagulation factor X activity actual/normal in Platelet poor plasma by Coagulation assay								
	COAG	49058-1	1897	aPTT Time BldCRRT	Activated partial thromboplastin time (aPTT) in Blood drawn from CRRT circuit by Coagulation assay								
	ALLERGY	6061-6	1898	Carrot IgE Qn	Carrot IgE Ab [Units/volume] in Serum								
	MICRO	20781-1	1899	Cryptosp Stl Ql Acid fast Stn	Cryptosporidium sp [Presence] in Stool by Acid fast stain								
	COAG	32217-2	1900	vWF multimers PPP Ql	von Willebrand factor (vWf) multimers [Presence] in Platelet poor plasma								
	MICRO	22412-1	1901	S rectivirgula Ab Ser Ql	Saccharopolyspora rectivirgula Ab [Presence] in Serum								
	CHEM	20652-4	1902	Ornithine SerPl-sCnc	Ornithine [Moles/volume] in Serum or Plasma								
	ALLERGY	6733-0	1903	Pigeon Serum Ab Ql ID	Pigeon serum Ab [Presence] in Serum by Immune diffusion (ID)								
	CHEM	20650-8	1904	Lysine SerPl-sCnc	Lysine [Moles/volume] in Serum or Plasma								
	MICRO	10853-0	1905	I belli XXX Ql Acid fast Mod Kiny Stn	Isospora belli [Presence] in Unspecified specimen by Acid fast stain.Kinyoun modified								
	MICRO	5869-3	1906	HPIV1 Ag XXX Ql IF	Parainfluenza virus 1 Ag [Presence] in Unspecified specimen by Immunofluorescence								
	ABXBACT	7059-9	1907	Vancomycin Islt E-test	Vancomycin [Susceptibility] by Gradient strip (E-test)								
	CHEM	2159-2	1908	Creat Amn-mCnc	Creatinine [Mass/volume] in Amniotic fluid								
	CHEM	1974-5	1909	Bilirub Fld-mCnc	Bilirubin [Mass/volume] in Body fluid								
	CHEM	20638-3	1910	Asparagine SerPl-sCnc	Asparagine [Moles/volume] in Serum or Plasma								
	CHEM	12201-0	1911	Cryoglob Ser Ql 1D Cold Inc	Cryoglobulin [Presence] in Serum by 1 day cold incubation								
	CHEM	20499-0	1912	PG MFr Amn	Phosphatidylglycerol/Surfactant.total in Amniotic fluid								
	MICRO	50758-2	1913	HSV1 IgM Titr Ser IF	Herpes simplex virus 1 IgM Ab [Titer] in Serum by Immunofluorescence								
	MICRO	26927-4	1914	HSV2 IgM Titr Ser IF	Herpes simplex virus 2 IgM Ab [Titer] in Serum by Immunofluorescence								
	DRUG/TOX	16195-0	1915	Benzodiaz Ur Ql Cfm	Benzodiazepines [Presence] in Urine by Confirmatory method								
	ALLERGY	6081-4	1916	Coconut IgE Qn	Coconut IgE Ab [Units/volume] in Serum								
